date,location,time,lat_lon,is_floodprone,is_flooded,rainfall_1hr_prior,rainfall_2hr_prior,rainfall_3hr_prior,nearest_station_distance,rainfall_5min_prior,rainfall_10min_prior,rainfall_15min_prior,rainfall_20min_prior,rainfall_25min_prior,rainfall_30min_prior,rainfall_35min_prior,rainfall_40min_prior,rainfall_45min_prior,rainfall_50min_prior,rainfall_55min_prior
2023-06-13,453 Kallang Way,1350,"1.3249544, 103.8767546",0,0,0.0,0.0,0.0,1.3977396711595211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-07,121 Paya Lebar Road,1425,"1.3298108, 103.8895947",0,0,0.0,0.0,0.0,0.22815838988289955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,876 Upper Bukit Timah Road,1455,"1.3564416, 103.7681987",0,0,0.0,0.0,0.0,2.1661531472286035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-29,22 Tanjong Rhu Road,1520,"1.2966874, 103.8690837",0,0,0.0,0.0,0.0,0.5581705641251246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,999 Upper Thomson Road,1545,"1.388523, 103.8182959",0,0,0.0,0.0,0.0,2.270322105896842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-02,556 Toa Payoh Lorong 1,1610,"1.3394394, 103.8521099",0,0,0.0,0.0,0.0,0.5660079192940186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-25,743 Bukit Timah Road,1635,"1.3279746, 103.8045757",0,0,0.0,0.0,0.0,0.7029810405857804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03,832 Bedok Reservoir View,1705,"1.3381922, 103.9346961",0,0,0.0,0.0,0.0,1.2404588591561723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,111 West Coast Road,1730,"1.3195428, 103.7411092",0,0,0.0,0.0,0.0,2.1910919826543718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-17,456 Bedok North Street 2,1755,"1.3271542, 103.9378138",0,0,0.0,0.0,0.0,1.0057597546282027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-06,890 Yio Chu Kang Road,1825,"1.3913074, 103.8575445",0,0,0.0,0.0,0.0,1.8995160943623404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29,123 Upper Boon Keng Road,1850,"1.3163648, 103.8734106",0,0,0.0,0.0,0.0,1.8636454662385347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,234 Serangoon Avenue 4,1915,"1.3581732, 103.8713307",0,0,0.0,0.0,0.0,1.98410640192625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,432 Bukit Panjang Road,1940,"1.3786493, 103.7697037",0,0,0.0,0.0,0.0,1.1254662263877566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,534 Queenstown Road,2010,"1.2932897, 103.8132567",0,0,0.0,0.0,0.0,0.09569544168039748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-04,12 Telok Blangah Road,2035,"1.2711353, 103.8076117",0,0,0.0,0.0,0.0,0.5745054528699437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,65 Jalan Ang Mo Kio,2105,"1.36917, 103.84972",0,0,0.0,0.0,0.0,1.0769837190591918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-24,245 Clementi Avenue 4,2130,"1.3205913, 103.7675153",0,0,0.0,0.0,0.0,0.28315706360651843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-11,37 Selegie Road,2155,"1.3044959, 103.8505072",0,0,0.0,0.0,0.0,1.54783369236749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09,542 Tiong Bahru Road,2220,"1.2872251, 103.8237853",0,0,0.0,0.0,0.0,0.2945426924960397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-12,123 Bedok South Road,2245,"1.319016, 103.9287316",0,0,0.0,0.0,0.0,2.46898432060423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-29,12 Pasir Ris Drive 1,2310,"1.3646821, 103.9630813",0,0,0.0,0.0,0.0,1.1552993819138262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
